Any,Indicador,Nom_Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Tipus_Us,Tipus_Equipament,Ambit,Latitud,Longitud
2022,Assistents_Activitats,"Biblioteca Ramon d'Alòs-Moner",458,,,10,"Sant Martí",70,"el Besòs i el Maresme","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.416309274,2.211483280
2022,Assistents_Activitats,"Biblioteca Xavier Benguerel",922,,,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.392407385,2.197710107
2022,Assistents_Activitats,"Biblioteca Francesc Candel",1572,,,03,Sants-Montjuïc,13,"la Marina de Port","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.361777512,2.136276613
2022,Assistents_Activitats,"Biblioteca Poble Sec - Francesc Boix",977,,,03,Sants-Montjuïc,11,"el Poble Sec","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.373921824,2.164025015
2022,Assistents_Activitats,"Biblioteca Vapor Vell",2263,,,03,Sants-Montjuïc,18,Sants,"Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.376897256,2.134733614
2022,Assistents_Activitats,"Biblioteca Clarà",722,,,05,"Sarrià-Sant Gervasi",24,"les Tres Torres","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.399909399,2.129455802
2022,Assistents_Activitats,"Biblioteca Collserola - Josep Miracle",1885,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.415359022,2.102528700
2022,Assistents_Activitats,"Biblioteca Sant Gervasi - Joan Maragall",1661,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.4059495,2.136064
2022,Assistents_Visites_Escolars,"Biblioteca Barceloneta - La Fraternitat",1556,,,01,"Ciutat Vella",03,"la Barceloneta","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.379201005,2.188854072
2022,Assistents_Visites_Escolars,"Biblioteca Francesca Bonnemaison",3789,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.386936575,2.175789976
2022,Assistents_Visites_Escolars,"Biblioteca Gòtic - Andreu Nin",2668,,,01,"Ciutat Vella",02,"el Barri Gòtic","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.378730324,2.175978504
2022,Assistents_Visites_Escolars,"Biblioteca Sant Pau - Santa Creu",2914,,,01,"Ciutat Vella",01,"el Raval","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.381057326,2.169793857
2022,Assistents_Visites_Escolars,"Biblioteca Esquerra de l'Eixample - Agustí Centelles",1561,,,02,Eixample,09,"la Nova Esquerra de l'Eixample","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.3864488,2.1527896
2022,Assistents_Visites_Escolars,"Biblioteca Fort Pienc",1980,,,02,Eixample,05,"el Fort Pienc","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.395555185,2.182447586
2022,Assistents_Visites_Escolars,"Biblioteca Joan Miró",1767,,,02,Eixample,09,"la Nova Esquerra de l'Eixample","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.378816801,2.149230361
2022,Assistents_Visites_Escolars,"Biblioteca Sagrada Família - J. M. Ainaud de Lasarte",1470,,,02,Eixample,06,"la Sagrada Família","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.4055771,2.176118
2022,Assistents_Visites_Escolars,"Biblioteca Sant Antoni - Joan Oliver",1488,,,02,Eixample,10,"Sant Antoni","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.377384776,2.162778079
2022,Assistents_Visites_Escolars,"Biblioteca Sofia Barat",1457,,,02,Eixample,07,"la Dreta de l'Eixample","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.394674294,2.171504480
2022,Assistents_Visites_Escolars,"Biblioteca Jaume Fuster",2550,,,06,Gràcia,28,"Vallcarca i els Penitents","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.407459888,2.149757498
2022,Assistents_Visites_Escolars,"Biblioteca Vallcarca i els Penitents - M. Antonieta Cot",788,,,06,Gràcia,28,"Vallcarca i els Penitents","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.420008234,2.139657303
2022,Assistents_Visites_Escolars,"Biblioteca Vila de Gràcia",907,,,06,Gràcia,31,"la Vila de Gràcia","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.401467067,2.158213802
2022,Assistents_Visites_Escolars,"Biblioteca El Carmel - Juan Marsé",2011,,,07,Horta-Guinardó,37,"el Carmel","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.421104560,2.155286623
2022,Assistents_Visites_Escolars,"Biblioteca Guinardó - Mercè Rodoreda",1027,,,07,Horta-Guinardó,33,"el Baix Guinardó","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.414313258,2.165318095
2022,Assistents_Visites_Escolars,"Biblioteca Horta - Can Mariner",730,,,07,Horta-Guinardó,43,Horta,"Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.431105502,2.160733590
2022,Assistents_Visites_Escolars,"Biblioteca Montbau - Albert Pérez Baró",250,,,07,Horta-Guinardó,40,Montbau,"Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.429553532,2.142195427
2022,Assistents_Visites_Escolars,"Biblioteca Les Corts - Miquel Llongueras",754,,,04,"Les Corts",20,"la Maternitat i Sant Ramon","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.377777960,2.121760828
2022,Assistents_Visites_Escolars,"Biblioteca Montserrat Abelló",1946,,"Biblioteca inaugurada el 26 de gener de 2018.",04,"Les Corts",19,"les Corts","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.383722,2.1352722
2022,Assistents_Visites_Escolars,"Biblioteca Canyelles",408,,,08,"Nou Barris",49,Canyelles,"Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.443773486,2.164322669
2022,Assistents_Visites_Escolars,"Biblioteca Les Roquetes - Rafa Juncadella",1623,,,08,"Nou Barris",50,"les Roquetes","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.445371792,2.177103706
2022,Assistents_Visites_Escolars,"Biblioteca Nou Barris",2161,,,08,"Nou Barris",48,"la Guineueta","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.436813681,2.171212448
2022,Assistents_Visites_Escolars,"Biblioteca Vilapicina i la Torre Llobeta",682,,,08,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.426885098,2.176452383
2022,Assistents_Visites_Escolars,"Biblioteca Zona Nord",3611,,,08,"Nou Barris",54,"Torre Baró","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.461237425,2.179875786
2022,Assistents_Visites_Escolars,"Biblioteca Bon Pastor",3338,,,09,"Sant Andreu",59,"el Bon Pastor","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.435164144,2.204659876
2022,Assistents_Visites_Escolars,"Biblioteca Ignasi Iglésias - Can Fabra",4021,,,09,"Sant Andreu",60,"Sant Andreu","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.434481450,2.190871493
2022,Assistents_Visites_Escolars,"Biblioteca La Sagrera - Marina Clotet",2419,,,09,"Sant Andreu",61,"la Sagrera","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.425875519,2.193764263
2022,Assistents_Visites_Escolars,"Biblioteca Trinitat Vella - José Barbero",903,,,09,"Sant Andreu",57,"la Trinitat Vella","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.449283144,2.190748711
2022,Assistents_Visites_Escolars,"Biblioteca Camp de l'Arpa - Caterina Albert",1994,,,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.415766234,2.182280785
2022,Assistents_Visites_Escolars,"Biblioteca El Clot - Josep Benet",1416,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.4019532,2.188806
2022,Assistents_Visites_Escolars,"Biblioteca Gabriel García Márquez",1168,,"Biblioteca inaugurada la primavera de 2022 en substitució de la Biblioteca Sant Martí de Provençals, tancada definitivament el desembre de 2021.",10,"Sant Martí",72,"Sant Martí de Provençals","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.417120,2.200328
2022,Assistents_Visites_Escolars,"Biblioteca Poblenou - Manuel Arranz",1174,,,10,"Sant Martí",68,"el Poblenou","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.401373426,2.204525705
2022,Assistents_Visites_Escolars,"Biblioteca Ramon d'Alòs-Moner",506,,,10,"Sant Martí",70,"el Besòs i el Maresme","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.416309274,2.211483280
2022,Assistents_Visites_Escolars,"Biblioteca Xavier Benguerel",1612,,,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.392407385,2.197710107
2022,Assistents_Visites_Escolars,"Biblioteca Francesc Candel",1701,,,03,Sants-Montjuïc,13,"la Marina de Port","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.361777512,2.136276613
2022,Assistents_Visites_Escolars,"Biblioteca Poble Sec - Francesc Boix",524,,,03,Sants-Montjuïc,11,"el Poble Sec","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.373921824,2.164025015
2022,Assistents_Visites_Escolars,"Biblioteca Vapor Vell",1222,,,03,Sants-Montjuïc,18,Sants,"Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.376897256,2.134733614
2022,Assistents_Visites_Escolars,"Biblioteca Clarà",469,,,05,"Sarrià-Sant Gervasi",24,"les Tres Torres","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.399909399,2.129455802
2022,Assistents_Visites_Escolars,"Biblioteca Collserola - Josep Miracle",480,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.415359022,2.102528700
2022,Assistents_Visites_Escolars,"Biblioteca Sant Gervasi - Joan Maragall",773,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.4059495,2.136064
2022,Fons_Documentals,"Biblioteca Barceloneta - La Fraternitat",41527,,,01,"Ciutat Vella",03,"la Barceloneta","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.379201005,2.188854072
2022,Fons_Documentals,"Biblioteca Francesca Bonnemaison",74936,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.386936575,2.175789976
2022,Fons_Documentals,"Biblioteca Gòtic - Andreu Nin",45926,,,01,"Ciutat Vella",02,"el Barri Gòtic","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.378730324,2.175978504
2022,Fons_Documentals,"Biblioteca Sant Pau - Santa Creu",63582,,,01,"Ciutat Vella",01,"el Raval","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.381057326,2.169793857
