,Name,Road Name,Street Number,Neighborhood ID,Neighborhood Name,District ID,District Name,ZipCode,Service Type,geo_epgs_25831_x,geo_epgs_25831_y,Latitude,Longitude,Simple Service Type
99,Centre Especial de Recerca en Teories i Pràctiques Superadores de Desigualtats,Pg Vall d'Hebron,175.0,40,Montbau,7,Horta-Guinardó,8035,University,428748.82438690326,4587482.826868194,41.43575541409688,2.147158169831797,University
100,Escola Superior de Comerç Internacional,Pg Pujades,1.0,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003,University,431614.1536632696,4582153.326421354,41.38800347000207,2.182053704014178,University
101,Institució Cultural del C.I.C.,Via Augusta,205.0,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8021,Languages School,428016.49039571686,4583264.479834049,41.397697285981785,2.1388954166038783,Languages School
102,Centre Educatiu  Princesa Margarita,Pg Font d'en Fargas,15.0,36,la Font d'en Fargues,7,Horta-Guinardó,8032,"Kindergarten, Primary & Secondary School",430300.61155028094,4586407.737666469,41.42620869422536,2.1658543596995137,General School (with kindergarten)
103,Jam Session Escola de Música,Sant Germà,8.0,14,la Font de la Guatlla,3,Sants-Montjuïc,8004,Music School,428618.7931480432,4580413.7047815705,41.37207509307847,2.146435570974566,Music School
104,Institut Valldemossa,C Pintor Alsamora,7.0,45,Porta,8,Nou Barris,8016,Secondary School,431535.9623757112,4587303.96818602,41.43438695568421,2.180535772369523,High School
105,Facultat de Biologia - UB,Av Diagonal,645.0,20,la Maternitat i Sant Ramon,4,Les Corts,8028,University,426175.9125762919,4581915.246600833,41.38537847387165,2.1170443890573285,University
106,Institut Rubió i Tudurí,Pg Mollerussa,71.0,59,el Bon Pastor,9,Sant Andreu,8030,FP,433751.8727718292,4587803.912756724,41.43907565411945,2.2070013035465075,FP
107,Institut de Ciències de l'Educació de la Universitat de Barcelona,Pg Vall d'Hebron,171.0,40,Montbau,7,Horta-Guinardó,8035,University,428748.82438690326,4587482.826868194,41.43575541409688,2.147158169831797,University
108,Institut Universitari del  Pròxim Orient Antic,G.V. Corts Catalanes,585.0,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8007,University,430105.756355228,4582009.3515178105,41.38657708352391,2.164030568391206,University
109,Institut de Matemàtica,G.V. Corts Catalanes,585.0,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8007,University,430105.756355228,4582009.3515178105,41.38657708352391,2.164030568391206,University
110,Escola Tècnica Superior d'Arquitectura de Barcelona - UPC,Av Diagonal,649.0,20,la Maternitat i Sant Ramon,4,Les Corts,8028,University,425867.6635953816,4581812.363537365,41.384423505592665,2.113370660627247,University
111,Institut de Ciències Polítiques i Socials,C Mallorca,244.0,7,la Dreta de l'Eixample,2,Eixample,8008,University,429920.8540014763,4582734.974399529,41.39309643628034,2.16173532171433,University
112,Fundació Aula Aegyptiaca,C Balmes,58.0,7,la Dreta de l'Eixample,2,Eixample,8007,University,429983.8934706202,4582341.884247834,41.38956149722731,2.162534743579912,University
113,Escola Ítaca,Carrer de Numància,140.0,19,les Corts,4,Les Corts,8029,Kindergarten & Primary School,427599.389670253,4582234.399794392,41.38838232973607,2.134029525864466,Kindergarten & Primary School
