,Name,Street ID,Road Name,Street Number,Neighborhood ID,Neighborhood Name,District ID,District Name,ZipCode,Service Type,geo_epgs_25831_x,geo_epgs_25831_y,Latitude,Longitude
533,Farmàcia Alemany Cahner,169409,G.V. Corts Catalanes,527.0,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8011.0,Pharmacy,429660.8047714472,4581574.12167289,41.382618331701885,2.1587598051101264
534,Farmàcia Allue Mugarra,127704,C Floridablanca,117.0,10,Sant Antoni,2,Eixample,8011.0,Pharmacy,429865.10083019536,4581358.713817683,41.38069605883933,2.161227817307409
535,Farmàcia Pantaleoni Giralt,55603,C Calvet,70.0,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8021.0,Pharmacy,428237.2752790984,4583129.810194626,41.39650410409416,2.141552237202456
536,Farmàcia Videllet Julià,110803,Entença,254.0,19,les Corts,4,Les Corts,8029.0,Pharmacy,428166.83618045104,4582113.884091387,41.38734776575286,2.1408302053805603
537,Farmàcia Garcia *24 hores,18505,Aragó,1.0,9,la Nova Esquerra de l'Eixample,2,Eixample,8015.0,Pharmacy,428601.8411651956,4581109.637984345,41.37834161487029,2.146150913105384
538,Farmàcia Vilalta Sabartés,18505,Aragó,32.0,9,la Nova Esquerra de l'Eixample,2,Eixample,8015.0,Pharmacy,428918.85702627554,4581376.952442034,41.38077728922811,2.149910345197348
539,Farmàcia Chacón Puig,96101,Carrer de Las Chafarinas,12.0,53,la Trinitat Nova,8,Nou Barris,8033.0,Pharmacy,431816.8523498777,4588784.814818938,41.44774829202847,2.1837303682575544
540,Farmàcia Fabregat Marimón,29400,C Avinyó,27.0,2,el Barri Gòtic,1,Ciutat Vella,8002.0,Pharmacy,431290.40097310895,4581355.84913833,41.38079323607615,2.17827219494483
541,Farmàcia Clapés Antoja *24 hores,34308,C la Rambla,98.0,2,el Barri Gòtic,1,Ciutat Vella,8002.0,Pharmacy,430814.2545672816,4581527.200368841,41.38229574271582,2.1725587584280377
542,Farmàcia Estopiñà Cros,288805,Rosari,13.0,24,les Tres Torres,5,Sarrià-Sant Gervasi,8017.0,Pharmacy,427213.2492342126,4583109.460174263,41.396228783863705,2.1293063169056463
543,Farmàcia Cardellà Pou,119003,Pg Fabra i Puig,136.0,45,Porta,8,Nou Barris,8016.0,Pharmacy,431587.95896173577,4586857.755544034,41.43037251071058,2.181208576959581
544,Farmàcia Real Herraiz,85900,Conca de Tremp,64.0,37,el Carmel,7,Horta-Guinardó,8032.0,Pharmacy,429576.14169069607,4585893.55652757,41.42151448668503,2.1572448564082354
545,Farmàcia Pallarés Pérez,28000,Via Augusta,189.0,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8021.0,Pharmacy,428161.6849813605,4583280.972704048,41.39785881517081,2.140630166081711
546,Farmàcia Pineda Marfà,106602,C Duquessa d'Orleans,28.0,23,Sarrià,5,Sarrià-Sant Gervasi,8034.0,Pharmacy,426437.9847110512,4583368.448480208,41.398490830296765,2.120001984456373
547,Farmàcia Serra Mandri,144601,Av Diagonal,478.0,31,la Vila de Gràcia,6,Gràcia,8006.0,Pharmacy,429437.936628448,4583050.9792162925,41.395900353397934,2.1559225949545704
548,Farmàcia Sahun Xifré,32700,C Balmes,338.0,27,el Putxet i el Farró,5,Sarrià-Sant Gervasi,8006.0,Pharmacy,428402.00751885,4583879.527917022,41.40327119782424,2.143433940345722
549,Farmàcia Vives Pal,70607,Casanova,165.0,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036.0,Pharmacy,428960.03036915377,4582593.259581634,41.39173576665168,2.150260079194127
550,Farmàcia Rojo Boixareu,161407,Indústria,65.0,32,el Camp d'en Grassot i Gràcia Nova,6,Gràcia,8025.0,Pharmacy,430450.850582101,4584034.626831978,41.40484797298457,2.167925035592707
551,Farmàcia Malo Cruz,161407,C Indústria,80.0,32,el Camp d'en Grassot i Gràcia Nova,6,Gràcia,8025.0,Pharmacy,430594.9731594388,4584144.018794786,41.40584568423464,2.169636577096602
552,Farmàcia Marimón Carvajal,108302,Av Elies Pagès,20.0,39,Sant Genís dels Agudells,7,Horta-Guinardó,8035.0,Pharmacy,427609.6166236192,4586638.709850663,41.428050964441006,2.133624988016794
553,Farmàcia Garciapons,78700,Carrer del Cinca,92.0,60,Sant Andreu,9,Sant Andreu,8030.0,Pharmacy,432517.2406917103,4588105.77857247,41.44169164082151,2.1921902780200844
554,Farmàcia Palma García,109600,C Alzina,44.0,31,la Vila de Gràcia,6,Gràcia,8024.0,Pharmacy,429434.0694011264,4584314.376893309,41.40727896832103,2.1557290684308854
555,Farmàcia Clapés Billoch,110304,C Enric Granados,117.0,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8008.0,Pharmacy,429377.9142769476,4582740.169235888,41.39309573121109,2.155240916654705
556,Farmàcia Rivera Arnadis,54509,Calàbria,61.0,10,Sant Antoni,2,Eixample,8015.0,Pharmacy,429530.3551489124,4581052.613735798,41.37790986845157,2.157260462675
557,Farmàcia Farré-Roma,131600,Carrer de Formentera,44.0,52,la Prosperitat,8,Nou Barris,8016.0,Pharmacy,431918.2564406408,4588416.499426215,41.44443962013956,2.1849857470788
558,Farmàcia Fernández Moreno,247309,C Pasteur,1.0,37,el Carmel,7,Horta-Guinardó,8024.0,Pharmacy,429704.5335462201,4585404.597320318,41.41712186624327,2.158837978595604
559,Farmàcia Perera Francisco,282809,C Riu de l'Or,33.0,23,Sarrià,5,Sarrià-Sant Gervasi,8034.0,Pharmacy,426611.5501239736,4582912.802962619,41.394402892536014,2.122133279108717
