Curs,Codi centre,Denominació completa,Codi municipi_5,Codi municipi_6,Nom municipi,Dones,Homes,Total
2021/2022,25004656,ESCOLA DE TORREBESSES - ZER L'ERAL,25226,252265,TORREBESSES,2,1,3
2021/2022,25004711,ESCOLA LA CREU,25228,252287,TORREFARRERA,28,5,33
2021/2022,25004723,ESCOLA LA BASSA,25230,252304,TORREGROSSA,14,2,16
2021/2022,25004747,ESCOLA CARRASSUMADA,25232,252326,TORRES DE SEGRE,15,0,15
2021/2022,25004759,ESCOLA EL ROSER - ZER ALT SEGRIÀ,25233,252332,TORRE-SERONA,3,0,3
2021/2022,25004772,ESCOLA VALLDEFLORS,25234,252347,TREMP,28,2,30
2021/2022,25004826,ESCOLA DE TUIXENT - ZER URGELLET,25910,259101,JOSA I TUIXÉN,3,0,3
2021/2022,25004851,ESCOLA SALVADOR ESPRIU,25240,252402,VALLFOGONA DE BALAGUER,14,1,15
2021/2022,25004863,ESCOLA JARDÍ - ZER GUICIVERVI,25242,252424,VERDÚ,3,3,6
2021/2022,25004929,ESCOLA GARONA,25243,252430,VIELHA E MIJARAN,31,4,35
2021/2022,25004966,ESCOLA RAMON PERELLÓ - ZER GUICIVERVI,25244,252445,VILAGRASSA,6,1,7
2021/2022,25004981,ESCOLA VIDAL I ABAD - ZER ALTA RIBAGORÇA,25245,252458,VILALLER,5,0,5
2021/2022,25005016,ESCOLA MARINADA,25248,252483,VILANOVA DE BELLPUIG,12,3,15
2021/2022,25005053,ESCOLA MARE DE DÉU DEL PUIG DE MEIÀ - ZER EL ROMANÍ,25250,252509,VILANOVA DE MEIÀ,3,0,3
2021/2022,25005065,ESCOLA DE VILANOVA DE SEGRIÀ - ZER ALT SEGRIÀ,25251,252516,VILANOVA DE SEGRIÀ,8,0,8
2021/2022,25005077,ESCOLA MOSSÈN TON CLAVÉ - ZER VENT SERÈ,25252,252521,VILA-SANA,8,0,8
2021/2022,25005090,ESCOLA MESTRAL - ZER ARGELAGA,25254,252542,VILANOVA DE LA BARCA,6,1,7
2021/2022,25005107,ESCOLA SANT BONIFACI - ZER RIU SET,25255,252555,VINAIXA,2,1,3
2021/2022,25005119,ESCOLA PINYANA,25013,250138,ALFARRÀS,18,1,19
2021/2022,25005120,ESCOLA TERESA BERGADÀ,25016,250169,ALGUAIRE,20,1,21
2021/2022,25005144,ESCOLA ÀNGEL SERAFÍ I CASANOVAS,25209,252094,SORT,20,2,22
2021/2022,25005171,ESCOLA MESTRE IGNASI PERAIRE,25137,251370,MOLLERUSSA,27,7,34
2021/2022,25005260,INSTITUT RIBERA DEL SIÓ,25003,250030,AGRAMUNT,33,13,46
2021/2022,25005429,INSTITUT ELS PLANELLS,25034,250349,ARTESA DE SEGRE,29,7,36
2021/2022,25005430,ESCOLA JOAN XXIII,25120,251207,LLEIDA,19,8,27
2021/2022,25005442,INSTITUT ESCOLA DEL TREBALL,25120,251207,LLEIDA,42,34,76
2021/2022,25005454,INSTITUT FRANCESC RIBALTA,25207,252075,SOLSONA,37,19,56
2021/2022,25005533,ESCOLA PAU CLARIS,25203,252038,LA SEU D'URGELL,20,1,21
2021/2022,25005545,ESCOLA POMPEU FABRA,25137,251370,MOLLERUSSA,34,1,35
2021/2022,25005557,CEE SILOÉ,25137,251370,MOLLERUSSA,8,2,10
2021/2022,25005582,INSTITUT TERRES DE PONENT,25137,251370,MOLLERUSSA,41,11,52
2021/2022,25005673,ESCOLA JOAN MARAGALL,25120,251207,LLEIDA,19,5,24
2021/2022,25005685,INSTITUT LA SEGARRA,25072,250729,CERVERA,49,22,71
2021/2022,25005727,INSTITUT ALMATÀ,25040,250404,BALAGUER,46,20,66
2021/2022,25005880,ESCOLA FREDERIC GODAS,25120,251207,LLEIDA,27,6,33
2021/2022,25005892,ESCOLA MALDANELL - ZER RIU CORB,25130,251305,MALDÀ,2,1,3
2021/2022,25005909,ESCOLA MOSSÈN RAMON MUNTANYOLA - ZER RIU CORB,25154,251543,ELS OMELLS DE NA GAIA,0,2,2
2021/2022,25005910,ESCOLA ABAT RUERA - ZER PEDRERA,25180,251804,PUIGGRÒS,4,1,5
2021/2022,25005983,ESCOLA SANT SERNI - ZER BARIDÀ-BATLLIA,25175,251752,PRATS I SANSOR,5,0,5
2021/2022,25006069,ESCOLA D'ARDÈVOL - ZER EL SOLSONÈS,25167,251673,PINÓS,3,0,3
2021/2022,25006148,INSTITUT D'OSTALARIA DE LES-VAL D'ARAN,25121,251214,LES,5,6,11
2021/2022,43004256,ESCOLA FERRERIES,43155,431554,TORTOSA,29,7,36
2021/2022,25006227,INSTITUT D'ALMENAR,25021,250215,ALMENAR,29,17,46
2021/2022,25006239,INSTITUT D'ARAN,25243,252430,VIELHA E MIJARAN,39,16,55
2021/2022,25006240,INSTITUT EL PONT DE SUERT,25173,251734,EL PONT DE SUERT,29,17,46
2021/2022,25006252,EOI DE LLEIDA,25120,251207,LLEIDA,33,9,42
2021/2022,25006264,ESCOLA ESPIGA,25120,251207,LLEIDA,26,3,29
2021/2022,25006276,ESCOLA SANT JORDI,25120,251207,LLEIDA,14,2,16
2021/2022,25006288,INSTITUT DE TREMP,25234,252347,TREMP,36,24,60
2021/2022,25006291,INSTITUT HUG ROGER III,25209,252094,SORT,24,15,39
2021/2022,25006409,ESCOLA JOC DE LA BOLA,25120,251207,LLEIDA,31,4,35
2021/2022,25006410,CFA SEGRIÀ,25120,251207,LLEIDA,7,4,11
2021/2022,25006483,INSTITUT CANIGÓ,25019,250194,ALMACELLES,30,16,46
2021/2022,25006495,INSTITUT JOSEP LLADONOSA,25120,251207,LLEIDA,40,24,64
2021/2022,25006501,ESCOLA ALBA,25078,250788,CORBINS,26,3,29
2021/2022,25006513,INSTITUT MANUEL DE MONTSUAR,25120,251207,LLEIDA,37,14,51
2021/2022,25006525,INSTITUT JOSEP VALLVERDÚ,25058,250582,LES BORGES BLANQUES,49,17,66
2021/2022,25006549,ESCOLA D'ESPLUGA DE SERRA - ZER ALTA RIBAGORÇA,25234,252347,TREMP,1,0,1
2021/2022,25006574,INSTITUT DE PONTS,25172,251728,PONTS,17,8,25
2021/2022,25006598,INSTITUT LO PLA D'URGELL,25050,250501,BELLPUIG,35,19,54
2021/2022,25006720,INSTITUT D'HOTELERIA I TURISME,25120,251207,LLEIDA,11,17,28
2021/2022,25006732,INSTITUT TORREVICENS,25120,251207,LLEIDA,106,26,132
2021/2022,25006744,CEE ESPERANÇA,25120,251207,LLEIDA,10,3,13
2021/2022,25006771,INSTITUT RONDA,25120,251207,LLEIDA,75,12,87
2021/2022,25006781,INSTITUT ALFONS COSTAFREDA,25217,252173,TÀRREGA,55,28,83
2021/2022,25007025,INSTITUT MORELLÓ,25086,250864,ESTERRI D'ÀNEU,6,6,12
2021/2022,25007153,INSTITUT D'ALCARRÀS,25011,250117,ALCARRÀS,49,17,66
2021/2022,25007189,INSTITUT MARIA RÚBIES,25120,251207,LLEIDA,41,18,59
2021/2022,25007499,INSTITUT L'OLIVERA,25101,251018,LA GRANADELLA,9,3,12
2021/2022,25007505,INSTITUT DE GUISSONA,25110,251109,GUISSONA,49,21,70
2021/2022,25007517,INSTITUT LA SERRA,25137,251370,MOLLERUSSA,37,18,55
2021/2022,25007529,INSTITUT SERÒS,25204,252043,SERÒS,29,15,44
2021/2022,25007611,CFA JOAN CARLES I,25120,251207,LLEIDA,7,5,12
2021/2022,25007700,INSTITUT ERMENGOL IV,25047,250479,BELLCAIRE D'URGELL,27,7,34
2021/2022,25007761,ZER GUICIVERVI,25244,252445,VILAGRASSA,3,1,4
2021/2022,25007773,ZER LA SEGARRA,25905,259059,RIBERA D'ONDARA,2,2,4
2021/2022,25007797,ZER BARIDÀ-BATLLIA,25139,251399,MONTELLÀ I MARTINET,3,1,4
2021/2022,25007803,ZER ALT PALLARS SOBIRÀ,25126,251266,LLAVORSÍ,4,0,4
2021/2022,25007815,ZER ELAIA,25101,251018,LA GRANADELLA,1,2,3
2021/2022,25007827,ZER NARIEDA,25155,251556,ORGANYÀ,3,1,4
2021/2022,25007839,ZER PALLARS JUSSÀ,25115,251155,ISONA I CONCA DELLÀ,2,2,4
2021/2022,25007840,ZER MONTSEC,25037,250371,LES AVELLANES I SANTA LINYA,4,1,5
2021/2022,25007852,ZER EL SIÓ,25138,251386,MONTGAI,3,1,4
2021/2022,25007864,ZER URGELLET,25203,252038,LA SEU D'URGELL,3,1,4
2021/2022,25007876,ZER RIU CORB,25046,250463,BELIANES,4,1,5
2021/2022,25007888,ZER GARRIGUES ALTES,25118,251180,JUNCOSA,2,2,4
2021/2022,25007891,ZER ALTA RIBAGORÇA,25245,252458,VILALLER,4,2,6
2021/2022,25007906,ZER SERRA LLARGA,25015,250156,ALGERRI,2,2,4
2021/2022,25007918,ZER L'OLIVER,25133,251333,MAIALS,3,1,4
2021/2022,25007921,ZER L'HORTA DE LLEIDA,25120,251207,LLEIDA,4,0,4
2021/2022,25007931,ZER VAL D'ARAN,25025,250254,NAUT ARAN,4,0,4
2021/2022,25007943,ZER PLAURCÉN,25168,251689,EL POAL,4,1,5
2021/2022,25007992,ESCOLA D'ALMENAR,25021,250215,ALMENAR,17,4,21
2021/2022,25008042,ZER RIU SET,25009,250096,L'ALBI,3,2,5
2021/2022,25008054,ZER VALL DE L'ARANYÓ,25067,250674,CASTELLDANS,2,1,3
2021/2022,25008066,ZER ESPERNALLAC,25070,250707,CASTELLSERÀ,2,3,5
2021/2022,25008078,ZER EL ROMANÍ,25138,251386,MONTGAI,3,2,5
2021/2022,25008081,ZER EL JONC,25062,250621,CAMARASA,3,1,4
2021/2022,25008091,ZER VENT SERÈ,25068,250680,CASTELLNOU DE SEANA,4,1,5
2021/2022,25008108,ZER L'ERAL,25200,252000,SARROCA DE LLEIDA,4,0,4
2021/2022,25008145,ZER ALT SEGRIÀ,25251,252516,VILANOVA DE SEGRIÀ,3,1,4
2021/2022,25008157,ZER RIU ONDARA,25225,252252,TORNABOUS,3,1,4
2021/2022,25008212,ESCOLA PRÀCTIQUES II,25120,251207,LLEIDA,28,3,31
2021/2022,25008224,ZER ARGELAGA,25254,252542,VILANOVA DE LA BARCA,2,1,3
2021/2022,25008236,ZER PEDRERA,25081,250812,L'ESPLUGA CALBA,2,1,3
2021/2022,25008352,INSTITUT DE LA POBLA DE SEGUR,25171,251713,LA POBLA DE SEGUR,22,9,31
2021/2022,25008534,ESCOLA DE LA VALL DE BOÍ - ZER ALTA RIBAGORÇA,25043,250432,LA VALL DE BOÍ,7,1,8
2021/2022,25008546,EOI DE TÀRREGA,25217,252173,TÀRREGA,5,1,6
2021/2022,25008558,EOI DE LA SEU D'URGELL,25203,252038,LA SEU D'URGELL,6,2,8
2021/2022,25008561,CFA BALAGUER,25040,250404,BALAGUER,1,3,4
2021/2022,25008571,CFA JOAN COMORERA,25072,250729,CERVERA,1,3,4
2021/2022,25008583,CFA LA SEU D'URGELL,25203,252038,LA SEU D'URGELL,6,0,6
2021/2022,25008595,CFA TÀRREGA,25217,252173,TÀRREGA,4,3,7
2021/2022,25008625,CFA MOLLERUSSA,25137,251370,MOLLERUSSA,5,4,9
2021/2022,25008649,ESCOLA FRANCESCO TONUCCI,25120,251207,LLEIDA,18,2,20
2021/2022,25008741,CFA VAL D'ARAN,25243,252430,VIELHA E MIJARAN,2,1,3
2021/2022,25008753,CFA SOLSONÈS,25207,252075,SOLSONA,6,0,6
2021/2022,25008765,ESCOLA LA VALL FOSCA - ZER PALLARS JUSSÀ,25227,252271,LA TORRE DE CABDELLA,5,0,5
2021/2022,25008777,ESCOLA PARC DE L'AIGUA,25120,251207,LLEIDA,27,5,32
2021/2022,25008789,ESCOLA MONT-ROIG,25040,250404,BALAGUER,19,3,22
2021/2022,25008790,ESCOLA MARIA-MERCÈ MARÇAL,25217,252173,TÀRREGA,22,6,28
2021/2022,25008893,ESCOLA PARC DEL SALADAR,25011,250117,ALCARRÀS,36,6,42
2021/2022,25008923,CFA ENRIC GRANADOS,25120,251207,LLEIDA,8,6,14
2021/2022,25008935,ESCOLA LA RÀPITA - ZER EL JONC,25240,252402,VALLFOGONA DE BALAGUER,5,0,5
2021/2022,25008984,CFA TREMP,25234,252347,TREMP,3,0,3
2021/2022,25009009,ZER EL SOLSONÈS,25207,252075,SOLSONA,5,0,5
2021/2022,25009034,ESCOLA CIUTAT JARDÍ,25120,251207,LLEIDA,28,4,32
2021/2022,25009071,ESCOLA PAÏSOS CATALANS,25120,251207,LLEIDA,31,2,33
2021/2022,25009095,ESCOLA LES SAVINES,25072,250729,CERVERA,15,2,17
2021/2022,25009101,ESCOLA EL VINYET,25207,252075,SOLSONA,15,2,17
2021/2022,25009113,ESCOLA MESTRE RAMON ESTADELLA I TORRADEFLOT,25110,251109,GUISSONA,25,0,25
2021/2022,25009149,ESCOLA PINYANA,25120,251207,LLEIDA,19,5,24
2021/2022,25009186,INSTITUT LA VALIRA,25203,252038,LA SEU D'URGELL,13,9,22
2021/2022,25009344,ESCOLA LA MITJANA,25120,251207,LLEIDA,28,3,31
2021/2022,25009356,ESCOLA LES ARRELS,25137,251370,MOLLERUSSA,15,4,19
2021/2022,25009368,ESCOLA LA VALIRA,25203,252038,LA SEU D'URGELL,6,0,6
2021/2022,25009721,INSTITUT D'ALPICAT,25023,250236,ALPICAT,19,10,29
2021/2022,25009733,INSTITUT JOAN SOLÀ,25228,252287,TORREFARRERA,36,17,53
2021/2022,25009800,ESCOLA TORRELAMEU - ZER ARGELAGA,25231,252311,TORRELAMEU,5,0,5
2021/2022,25009836,INSTITUT LA MITJANA,25120,251207,LLEIDA,46,7,53
2021/2022,25010085,ESCOLA JOSEP MAÑÉ I GAVALDÀ - ZER PONENT,25120,251207,LLEIDA,5,0,5
2021/2022,25010127,INSTITUT CASTELL DELS TEMPLERS,25120,251207,LLEIDA,19,12,31
2021/2022,25010231,ESCOLA DE SALÀS DE PALLARS - ZER PALLARS JUSSÀ,25190,251902,SALÀS DE PALLARS,3,0,3
2021/2022,25010280,INSTITUT ESCOLA TORRE QUERALT,25120,251207,LLEIDA,35,6,41
2021/2022,25010310,INSTITUT DE MOLLERUSSA IV,25137,251370,MOLLERUSSA,23,4,27
2021/2022,25010334,INSTITUT ESCOLA MAGRANERS,25120,251207,LLEIDA,21,9,30
2021/2022,25010358,INSTITUT ESCOLA VALL DE LORD,25193,251930,SANT LLORENÇ DE MORUNYS,14,7,21
2021/2022,25010361,INSTITUT CENTRE D'ESPORTS DE MUNTANYA DEL PALLARS,25171,251713,LA POBLA DE SEGUR,6,10,16
2021/2022,25010383,INSTITUT ESCOLA D'OLIANA,25149,251497,OLIANA,26,5,31
2021/2022,43000020,ESCOLA SANT MIQUEL,43001,430017,AIGUAMÚRCIA,4,3,7
2021/2022,43000081,ESCOLA JOAN BAPTISTA SERRA,43004,430043,ALCANAR,42,6,48
2021/2022,43000135,ESCOLA MARE DE DÉU DEL REMEI,43005,430056,ALCOVER,30,4,34
2021/2022,43000184,ESCOLA TERESA SALVAT I LLAURADÓ - ZER BAIX CAMP NORD,43007,430075,L'ALEIXAR,5,1,6
2021/2022,43000214,ESCOLA JOSEP FUSTÉ,43009,430094,ALFORJA,16,0,16
2021/2022,43000226,ESCOLA LA BARQUERA - ZER ATZAVARA,43010,430108,ALIÓ,5,0,5
2021/2022,43000251,ESCOLA LA PORTALADA,43012,430120,ALTAFULLA,27,4,31
2021/2022,43000263,ESCOLA SANT JORDI,43013,430136,L'AMETLLA DE MAR,34,4,38
2021/2022,43000275,ESCOLA MIQUEL GRANELL,43014,430141,AMPOSTA,24,7,31
2021/2022,43000329,INSTITUT RAMON BERENGUER IV,43014,430141,AMPOSTA,51,30,81
2021/2022,43000378,ESCOLA SANT JULIÀ,43016,430167,L'ARBOÇ,29,8,37
2021/2022,43000421,ESCOLA LA MIRANDA - ZER PORTS-ALGARS,43018,430189,ARNES,5,1,6
2021/2022,43000433,ESCOLA SANT MIQUEL,43019,430192,ASCÓ,14,2,16
2021/2022,43000470,ESCOLA VALLDEMUR - ZER CONCA DE BARBERÀ,43021,430213,BARBERÀ DE LA CONCA,6,1,7
2021/2022,43000512,ESCOLA EL SARRAÍ - ZER BAIX PRIORAT,43023,430234,BELLMUNT DEL PRIORAT,1,2,3
2021/2022,43000548,ESCOLA LA MUNTANYETA,43024,430249,BELLVEI,16,4,20
2021/2022,43000551,ESCOLA LLORENÇ VALLESPÍ I VIDIELLA - ZER RIU I SERRA,43025,430252,BENIFALLET,3,2,5
2021/2022,43000561,ESCOLA ANTONI NAT - ZER BENISSANET-MIRAVET,43026,430265,BENISSANET,8,0,8
2021/2022,43000597,ESCOLA ULL DEL VENT,43028,430287,LA BISBAL DEL PENEDÈS,18,7,25
2021/2022,43000603,ESCOLA DE BLANCAFORT - ZER POBLET,43029,430290,BLANCAFORT,3,1,4
2021/2022,43000615,ESCOLA L'ESTEL - ZER ELS CEPS,43030,430304,BONASTRE,4,5,9
2021/2022,43000627,ESCOLA ROCABRUNA,43031,430311,LES BORGES DEL CAMP,12,4,16
2021/2022,43000639,ESCOLA SANT BLAI - ZER TERRA ALTA-CENTRE,43032,430326,BOT,4,2,6
2021/2022,43000640,ESCOLA MARE DE DÉU DE LA CANDELA,43033,430332,BOTARELL,15,0,15
2021/2022,43000652,ESCOLA SANT JAUME DE BRÀFIM - ZER ATZAVARA,43034,430347,BRÀFIM,8,2,10
2021/2022,43000676,ESCOLA EL CASTELL - ZER MONTSANT,43035,430350,CABACÉS,4,0,4
2021/2022,43000688,ESCOLA DE CABRA DEL CAMP - ZER LA PARELLADA,43036,430363,CABRA DEL CAMP,3,2,5
2021/2022,43000706,ESCOLA SANTA CREU DE CALAFELL,43037,430379,CALAFELL,36,7,43
2021/2022,43000721,ESCOLA MOSSÈN JACINT VERDAGUER,43037,430379,CALAFELL,27,5,32
2021/2022,43000779,INSTITUT RAMON BERENGUER IV,43038,430385,CAMBRILS,42,28,70
2021/2022,43000792,ESCOLA SANT ISIDRE - ZER LES VINYES,43040,430402,CAPÇANES,3,1,4
2021/2022,43000809,ESCOLA LA GESSERA - ZER PORTS-ALGARS,43041,430419,CASERES,1,2,3
2021/2022,43000871,ESCOLA JAUME I,43044,430445,LA SÉNIA,31,6,37
2021/2022,43000895,ESCOLA MOSSÈN RAMON BERGADÀ,43047,430477,CONSTANTÍ,27,9,36
2021/2022,43000950,ESCOLA DOCTOR FERRAN - ZER TERRA ALTA-CENTRE,43048,430483,CORBERA D'EBRE,6,1,7
2021/2022,43000998,ESCOLA POMPEU FABRA,43051,430516,CUNIT,22,5,27
2021/2022,43001000,ESCOLA DE XERTA,43052,430521,XERTA,9,1,10
2021/2022,43001036,ESCOLA MARTÍ POCH,43054,430542,L'ESPLUGA DE FRANCOLÍ,13,2,15
2021/2022,43001051,ESCOLA ANTONI VILANOVA,43055,430555,FALSET,22,3,25
2021/2022,43001097,ESCOLA LOS CASTELLETS - ZER TERRA ALTA NORD,43056,430568,LA FATARELLA,6,0,6
2021/2022,43001115,ESCOLA MARE DE DÉU DE L'ESPERANÇA - ZER LA PARELLADA,43059,430593,FIGUEROLA DEL CAMP,5,0,5
2021/2022,43001127,ESCOLA ENRIC GRAU I FONTSERÈ,43060,430607,FLIX,19,3,22
2021/2022,43001231,ESCOLA PUIG CAVALLER,43064,430640,GANDESA,22,5,27
2021/2022,43001280,ESCOLA PÀMIES - ZER LA FONT DE L'AIGUADÍ,43067,430672,GINESTAR,6,1,7
2021/2022,43001310,ESCOLA LLICORELLA - ZER L'AGLÀ,43069,430691,GRATALLOPS,4,0,4
2021/2022,43001334,ESCOLA SANT FELIU - ZER LES VINYES,43070,430705,ELS GUIAMETS,2,1,3
2021/2022,43001346,ESCOLA MONTSAGRE,43071,430712,HORTA DE SANT JOAN,7,2,9
2021/2022,43001361,ESCOLA LES COMETES,43074,430748,LLORENÇ DEL PENEDÈS,19,6,25
2021/2022,43001383,ESCOLA ANICET VILLAR - ZER LES VINYES,43076,430764,MARÇÀ,3,1,4
2021/2022,43001395,ESCOLA TERESA SUBIRATS I MESTRE - ZER MONTSIÀ,43077,430770,MAS DE BARBERANS,3,2,5
2021/2022,43001437,ESCOLA ROSA GISBERT - ZER MONTSIÀ,43078,430786,MASDENVERGE,6,2,8
2021/2022,43001462,ESCOLA ELS TIL·LERS - ZER EL FRANCOLÍ,43080,430803,LA MASÓ,4,0,4
2021/2022,43001498,ESCOLA ONZE DE SETEMBRE - ZER BAIX PRIORAT,43082,430825,EL MASROIG,4,1,5
2021/2022,43001553,ESCOLA LES MURALLES,43086,430862,MONTBLANC,30,3,33
2021/2022,43001607,ESCOLA JOSEP M. SOLER I GENÉ,43088,430884,MONTBRIÓ DEL CAMP,19,6,25
2021/2022,43001656,ESCOLA TERESA GODES I DOMÈNECH,43090,430901,EL MONTMELL,11,4,15
2021/2022,43001668,ESCOLA MARE DE DÉU DE LA ROCA,43092,430923,MONT-ROIG DEL CAMP,24,7,31
2021/2022,43001681,ESCOLA LLUÍS VIÑAS I VIÑOLES,43093,430939,MÓRA D'EBRE,29,2,31
2021/2022,43001735,ESCOLA VENTURA GASSOL,43095,430957,EL MORELL,27,4,31
2021/2022,43001796,ESCOLA SANT SEBASTIÀ - ZER ATZAVARA,43098,430982,NULLES,5,3,8
2021/2022,43001826,ESCOLA SANT SEBASTIÀ,43100,431009,ELS PALLARESOS,19,4,23
2021/2022,43001851,ESCOLA SANT ROC - ZER RIU I SERRA,43102,431021,PAÜLS,4,1,5
2021/2022,43001942,ESCOLA CÈSAR MARTINELL - ZER TERRA ALTA-CENTRE,43106,431068,EL PINELL DE BRAI,3,4,7
2021/2022,43001954,ESCOLA ANTONI TOUS - ZER CONCA DE BARBERÀ,43107,431074,PIRA,4,2,6
2021/2022,43001966,ESCOLA SANT RAMON,43108,431080,EL PLA DE SANTA MARIA,14,2,16
2021/2022,43002016,ESCOLA L'AMETLLER - ZER TERRA ALTA NORD,43110,431107,LA POBLA DE MASSALUCA,3,1,4
2021/2022,43002053,ESCOLA GARBÍ - ZER MONTSANT-SERRA DE PRADES,43112,431129,POBOLEDA,2,2,4
2021/2022,43002144,ESCOLA MARE DE DÉU DE LA FONTCALDA - ZER PORTS-ALGARS,43117,431172,PRAT DE COMTE,3,0,3
2021/2022,43002171,ESCOLA JOAN PLANA,43119,431191,PUIGPELAT,15,0,15
2021/2022,43002211,ESCOLA PRAT DE LA RIBA,43123,431233,REUS,16,3,19
2021/2022,43002235,ESCOLA POMPEU FABRA,43123,431233,REUS,19,4,23
2021/2022,43002247,ESCOLA MISERICÒRDIA,43123,431233,REUS,18,5,23
2021/2022,43002259,ESCOLA MARIÀ FORTUNY,43123,431233,REUS,31,5,36
2021/2022,43002260,ESCOLA CIUTAT DE REUS,43123,431233,REUS,5,0,5
2021/2022,43002272,ESCOLA GENERAL PRIM,43123,431233,REUS,21,4,25
2021/2022,43002570,INSTITUT GAUDÍ,43123,431233,REUS,69,24,93
2021/2022,43002582,INSTITUT SALVADOR VILASECA,43123,431233,REUS,48,22,70
2021/2022,43002594,INSTITUT BAIX CAMP,43123,431233,REUS,98,50,148
2021/2022,43002661,ESCOLA SANT AGUSTÍ - ZER EBRE,43125,431251,RIBA-ROJA D'EBRE,7,0,7
2021/2022,43002752,ESCOLA BEAT BONAVENTURA GRAN,43129,431299,RIUDOMS,29,3,32
2021/2022,43002776,ESCOLA SALVADOR ESPRIU,43131,431310,RODA DE BERÀ,22,8,30
2021/2022,43002831,ESCOLA MESTRE MARCEL·LÍ DOMINGO,43133,431331,ROQUETES,36,7,43
2021/2022,43002892,ESCOLA CARLES III,43136,431362,SANT CARLES DE LA RÀPITA,34,10,44
2021/2022,43003008,ESCOLA JAUME BALMES,43138,431384,SANTA BÀRBARA,22,5,27
2021/2022,43003011,ESCOLA COR DE ROURE,43139,431397,SANTA COLOMA DE QUERALT,13,3,16
2021/2022,43003069,ESCOLA SALVADOR NINOT,43142,431423,SARRAL,14,2,16
2021/2022,43003082,ESCOLA GUILLEM DE CLARAMUNT,43144,431444,LA SECUITA,13,3,16
2021/2022,43003100,ESCOLA ABEL FERRATER,43145,431457,LA SELVA DEL CAMP,26,4,30
2021/2022,43003124,ESCOLA SAGRAT COR - ZER CONCA DE BARBERÀ,43147,431476,SOLIVELLA,4,1,5
2021/2022,43003136,ESCOLA BONAVISTA,43148,431482,TARRAGONA,34,6,40
2021/2022,43003185,ESCOLA LA CANONJA,43907,439076,LA CANONJA,32,7,39
2021/2022,43003227,ESCOLA SANT SALVADOR,43148,431482,TARRAGONA,28,10,38
2021/2022,43003306,ESCOLA SERRALLO,43148,431482,TARRAGONA,19,1,20
2021/2022,43003321,ESCOLA SANT PERE I SANT PAU,43148,431482,TARRAGONA,19,3,22
2021/2022,43003641,INSTITUT ANTONI DE MARTÍ I FRANQUÈS,43148,431482,TARRAGONA,81,41,122
2021/2022,43003653,INSTITUT COMTE DE RIUS,43148,431482,TARRAGONA,35,57,92
2021/2022,43003690,ESCOLA DE PRÀCTIQUES,43148,431482,TARRAGONA,26,5,31
2021/2022,43003720,ESCOLA EL MIRACLE,43148,431482,TARRAGONA,20,1,21
2021/2022,43003732,INSTITUT PONS D'ICART,43148,431482,TARRAGONA,42,15,57
2021/2022,43003756,ESCOLA TORREFORTA,43148,431482,TARRAGONA,29,6,35
2021/2022,43003768,ESCOLA ELS ÀNGELS,43148,431482,TARRAGONA,34,3,37
2021/2022,43003801,ESCOLA LA PINEDA - ZER RIU AVALL,43149,431495,TIVENYS,6,1,7
2021/2022,43003835,ESCOLA JOSEP RIBA - ZER LES VINYES,43150,431508,TIVISSA,1,2,3
2021/2022,43003847,ESCOLA MARCEL·LÍ DOMINGO,43150,431508,TIVISSA,12,1,13
2021/2022,43003884,ESCOLA ANTONI ROIG,43153,431536,TORREDEMBARRA,28,5,33
2021/2022,43003951,ESCOLA BÍTEM - ZER RIU AVALL,43155,431554,TORTOSA,7,1,8
2021/2022,43003975,ESCOLA SANT ÀNGEL,43903,439039,CAMARLES,12,5,17
2021/2022,43003987,ESCOLA PORT RODÓ - ZER MESTRAL,43155,431554,TORTOSA,10,0,10
2021/2022,43004013,ESCOLA SANT MIQUEL,43901,439018,DELTEBRE,27,7,34
2021/2022,43004037,ESCOLA MARIA GARCÍA I CABANES,43904,439044,L'ALDEA,14,4,18
2021/2022,43004050,ESCOLA 21 D'ABRIL,43904,439044,L'ALDEA,13,3,16
2021/2022,43004074,ESCOLA L'ASSUMPCIÓ,43901,439018,DELTEBRE,19,5,24
2021/2022,43004116,ESCOLA DEL LLIGALLO DEL GÀNGUIL - ZER MESTRAL,43903,439039,CAMARLES,6,1,7
2021/2022,43004189,ESCOLA SANT JAUME,43902,439023,SANT JAUME D'ENVEJA,20,0,20
2021/2022,43004232,ESCOLA LA MERCÈ,43155,431554,TORTOSA,21,6,27
2021/2022,43004268,ESCOLA REMOLINS,43155,431554,TORTOSA,18,2,20
2021/2022,43004438,INSTITUT DERTOSA,43155,431554,TORTOSA,62,37,99
2021/2022,43004441,INSTITUT DE L'EBRE,43155,431554,TORTOSA,60,66,126
2021/2022,43004463,ESCOLA RAMÓN Y CAJAL,43156,431567,ULLDECONA,32,8,40
2021/2022,43004487,ESCOLA MONTSANT - ZER MONTSANT-SERRA DE PRADES,43157,431573,ULLDEMOLINS,3,1,4
2021/2022,43004505,ESCOLA MARE DE DÉU DEL ROSER,43160,431606,VALLMOLL,14,1,15
2021/2022,43004517,ESCOLA ROCABRUNA - ZER EL FRANCOLÍ,43161,431613,VALLS,7,1,8
2021/2022,43004529,ESCOLA MARE DE DÉU DE LA CANDELA,43161,431613,VALLS,18,3,21
2021/2022,43004530,ESCOLA BALTASAR SEGÚ,43161,431613,VALLS,16,6,22
