Curs,Codi centre,Denominació completa,Codi municipi_5,Codi municipi_6,Nom municipi,Dones,Homes,Total
2023/2024,08045033,ESCOLA MONTPALAU,08163,081635,PINEDA DE MAR,14,6,20
2023/2024,08045021,INSTITUT ESTELA IBÈRICA,08260,082606,SANTA PERPÈTUA DE MOGODA,47,30,77
2023/2024,08045011,INSTITUT TORRE DEL PALAU,08279,082798,TERRASSA,51,21,72
2023/2024,08044995,INSTITUT BARRES I ONES,08015,080155,BADALONA,39,22,61
2023/2024,08044983,INSTITUT LLUÍS COMPANYS,08284,082845,TORDERA,32,29,61
2023/2024,08044971,INSTITUT PERE FONTDEVILA,08092,080924,GIRONELLA,32,12,44
2023/2024,08044961,ESCRBC DE CATALUNYA,08019,080193,BARCELONA,17,8,25
2023/2024,08044958,INSTITUT JOSEP PLA,08019,080193,BARCELONA,33,13,46
2023/2024,08044934,INSTITUT ESCOLA D'HOTELERIA I TURISME DE BARCELONA,08019,080193,BARCELONA,49,37,86
2023/2024,08044922,INSTITUT DR. PUIGVERT,08019,080193,BARCELONA,42,22,64
2023/2024,08044910,ESCOLA EL TURONET,08238,082384,SANT QUIRZE DEL VALLÈS,17,0,17
2023/2024,08044715,INSTITUT JAUME MIMÓ,08266,082665,CERDANYOLA DEL VALLÈS,52,45,97
2023/2024,08044648,ESCOLA LA RODA,08279,082798,TERRASSA,28,3,31
2023/2024,08044636,EOI DE SABADELL,08187,081878,SABADELL,18,6,24
2023/2024,08044624,INSTITUT SABADELL,08187,081878,SABADELL,51,52,103
2023/2024,08044612,INSTITUT TORRE DE MALLA,08159,081593,PARETS DEL VALLÈS,43,40,83
2023/2024,08044600,INSTITUT MOIANÈS,08138,081385,MOIÀ,26,23,49
2023/2024,08044594,INSTITUT GIOLA,08106,081069,LLINARS DEL VALLÈS,38,23,61
2023/2024,08044582,EOI DE L'HOSPITALET DE LLOBREGAT,08101,081017,L'HOSPITALET DE LLOBREGAT,20,8,28
2023/2024,08044570,INSTITUT VALL D'ARÚS,08295,082956,VALLIRANA,45,29,74
2023/2024,08044569,INSTITUT PERE BARNILS,08067,080673,CENTELLES,40,24,64
2023/2024,08044545,ESCOLA COLLBAIX,08218,082188,SANT JOAN DE VILATORRADA,12,4,16
2023/2024,08044533,INSTITUT LA FERRERIA,08125,081252,MONTCADA I REIXAC,74,53,127
2023/2024,08044521,ESCOLA ELS PINETONS,08088,080885,LA GARRIGA,27,3,30
2023/2024,08044511,EOI BARCELONA-VALL D'HEBRON,08019,080193,BARCELONA,37,3,40
2023/2024,08044508,ESCOLA ÍTACA,08015,080155,BADALONA,20,2,22
2023/2024,08044454,ESCOLA PILARÍN BAYÉS,08238,082384,SANT QUIRZE DEL VALLÈS,26,3,29
2023/2024,08044430,ESCOLA LA GARALDA,08157,081574,PALLEJÀ,31,3,34
2023/2024,08044314,ESCOLA ANDREU CASTELLS,08187,081878,SABADELL,27,5,32
2023/2024,08044302,ESCOLA JOAN ABELLÓ,08124,081249,MOLLET DEL VALLÈS,28,4,32
2023/2024,08044296,ESCOLA SALVADOR ESPRIU,08015,080155,BADALONA,25,4,29
2023/2024,08044247,ESCOLA ESTEL,08123,081234,MOLINS DE REI,15,1,16
2023/2024,08044223,CEE L'ESTEL- CAN BORI,08101,081017,L'HOSPITALET DE LLOBREGAT,31,5,36
2023/2024,08044201,ESCOLA DOVELLA,08019,080193,BARCELONA,16,0,16
